ODK,DN,DIST,YARD LN,PLAY TYPE,QTR
O,2,10,-47,Pass,2
O,3,11,-46,Pass,2
K,4,11,-46,Punt,2
D,1,10,-48,Pass,2
D,1,10,42,Run,2
D,1,16,48,Pass,2
D,2,11,43,Run,2
D,3,12,44,Pass,2
D,4,12,44,Pass,2
O,1,10,-39,,2
K,0,,-40,KO Rec,3
O,1,10,-32,Run,3
O,2,3,-39,Run,3
O,1,10,-48,Run,3
O,2,4,46,Run,3
O,1,10,42,Run,3
O,2,8,40,Run,3
O,3,4,36,Run,3
O,4,1,33,Run,3
O,1,10,15,Run,3
O,2,11,16,Run,3
O,1,2,2,Run,3
K,0,,3,Extra Pt.,3
K,0,,-40,KO,3
D,1,10,-27,Run,3
O,1,10,24,Run,3
O,2,2,16,Run,3
O,1,10,10,Run,3
O,2,6,6,Run,3
O,3,3,3,Run,3
O,3,13,13,Pass,3
K,4,13,13,FG,3
O,1,44,6,Run,3
K,0,,3,Extra Pt.,3
K,0,,-40,KO,3
D,1,10,-23,Run,3
D,2,7,-26,Pass,3
D,3,4,-29,Run,3
D,1,10,44,Run,3
O,1,10,-43,Run,3
O,2,7,-46,Run,3
O,3,10,-43,Pass,3
K,4,14,-39,Punt,3
D,1,10,-16,Pass,3
D,2,2,-24,Pass,3
D,3,2,-24,Run,3
D,1,10,-26,Run,3
D,1,10,-41,Run,3
D,2,4,-47,Run,3
D,1,10,47,Run,3
D,2,4,41,Pass,3
D,1,10,36,Run,3
D,2,7,33,Run,3
,,,,,
D,3,7,33,Run,4
D,1,10,20,Run,4
D,2,11,21,Run,4
D,1,10,11,Run,4
D,2,2,3,Run,4
K,0,3,3,2 Pt. Defend,4
K,0,,-40,KO Rec,4
O,1,10,-36,Run,4
O,2,8,-38,Run,4
O,3,2,-44,Run,4
O,4,1,-45,Run,4
D,1,10,44,Pass,4
D,1,10,39,Run,4
D,2,5,34,Run,4
D,3,1,30,Run,4
D,3,11,35,Run,4
D,1,10,23,Run,4
D,1,10,23,Pass,4
D,2,10,23,Run,4
D,3,10,23,Pass,4
K,4,6,19,FG Block,4
K,0,,-40,KO Rec,4
O,1,10,-25,Run,4
O,2,4,-31,Run,4
O,3,2,-33,Run,4
O,4,1,-34,Pass,4
O,1,10,-40,Run,4
O,1,10,48,Run,4
D,1,10,-36,Run,4
D,1,10,46,Run,4
D,2,6,42,,4
D,1,10,18,Run,4
D,2,10,18,Pass,4
D,3,10,18,Run,4
K,4,,9,FG Block,4
K,0,0,-40,KO Rec,4
O,1,10,-42,Pass,4
O,2,10,-42,Run,4
O,3,12,-40,Run,4
O,4,9,-43,Pass,4
K,1,10,44,FG,4
K,0,,-40,,4
